card_id,front_original,back_original,set_name,player_name,team,card_number,checklist_type,subset,parallel,auto,numbered_to,serial_number,other_desc,notes
1,iCloud Photos/IMG_3980.JPEG,iCloud Photos/IMG_3981.JPEG,Topps Cosmic 2025,Dylan Crews,Washington Nationals,PPS-8,Inserts,Planetary Pursuit,,,,,rookie,
2,iCloud Photos/IMG_3982.JPEG,iCloud Photos/IMG_3983.JPEG,Topps Cosmic 2025,Jackson Jobe,Detroit Tigers,UB-8,Inserts,Ultraviolet Beam,,,,,,
3,iCloud Photos/IMG_3984.JPEG,iCloud Photos/IMG_3985.JPEG,Topps Cosmic 2025,,,149,base,,,,,,,
4,iCloud Photos/IMG_3986.JPEG,iCloud Photos/IMG_3987.JPEG,Topps Cosmic 2025,,,87,base,,,,,,,
5,iCloud Photos/IMG_3988.JPEG,iCloud Photos/IMG_3989.JPEG,Topps Cosmic 2025,,,192,base,,,,,,,
6,iCloud Photos/IMG_3990.JPEG,iCloud Photos/IMG_3991.JPEG,Topps Cosmic 2025,,,32,base,,,,,,,
7,iCloud Photos/IMG_3992.JPEG,iCloud Photos/IMG_3993.JPEG,Topps Cosmic 2025,,,68,base,,,,,,,
8,iCloud Photos/IMG_3994.JPEG,iCloud Photos/IMG_3995.JPEG,Topps Cosmic 2025,,,124,base,,,,,,,
9,iCloud Photos/IMG_3996.JPEG,iCloud Photos/IMG_3997.JPEG,Topps Cosmic 2025,,,188,base,,,,,,,
10,iCloud Photos/IMG_3998.JPEG,iCloud Photos/IMG_3999.JPEG,Topps Cosmic 2025,,,sn-10,Inserts,,,,,,,
11,iCloud Photos/IMG_4001.JPEG,iCloud Photos/IMG_4002.JPEG,Topps Cosmic 2025,,,149,base,,,,,,,
12,iCloud Photos/IMG_4003.JPEG,iCloud Photos/IMG_4004.JPEG,Topps Cosmic 2025,,,94,base,,,,,,,
13,iCloud Photos/IMG_4005.JPEG,iCloud Photos/IMG_4006.JPEG,Topps Cosmic 2025,,,dsc-7,inserts,,,,,,,
14,iCloud Photos/IMG_4007.JPEG,iCloud Photos/IMG_4008.JPEG,Topps Cosmic 2025,,,175,base,,,,,,,
15,iCloud Photos/IMG_4009.JPEG,iCloud Photos/IMG_4010.JPEG,Topps Cosmic 2025,,,190,base,,,,,,,
16,iCloud Photos/IMG_4011.JPEG,iCloud Photos/IMG_4012.JPEG,Topps Cosmic 2025,,,ub-6,Inserts,,,,,,,
17,iCloud Photos/IMG_4013.JPEG,iCloud Photos/IMG_4014.JPEG,Topps Cosmic 2025,,,103,base,,,,,,,
18,iCloud Photos/IMG_4015.JPEG,iCloud Photos/IMG_4016.JPEG,Topps Cosmic 2025,,,22,base,,,,,,,
19,iCloud Photos/IMG_4017.JPEG,iCloud Photos/IMG_4018.JPEG,Topps Cosmic 2025,Marcelo Mayer,Boston Red Sox,91,Inserts,Aqua Equinox 150/199,,,199,150,rookie,
20,iCloud Photos/IMG_4019.JPEG,iCloud Photos/IMG_4021.JPEG,Topps Cosmic 2025,Mookie Betts,Los Angeles Dodgers,99,Inserts,Aqua Equinox 162/199,,,199,162,,
21,iCloud Photos/IMG_4022.JPEG,iCloud Photos/IMG_4023.JPEG,Topps Cosmic 2025,Roki Sasaki,Los Angeles Dodgers,68,Base,Base,,,,,rookie,
22,iCloud Photos/IMG_4024.JPEG,iCloud Photos/IMG_4025.JPEG,Topps Cosmic 2025,Brooks Lee,Minnesota Twins,UB-4,Inserts,Ultraviolet Beam,,,,,rookie,
23,iCloud Photos/IMG_4026.JPEG,iCloud Photos/IMG_4027.JPEG,Topps Cosmic 2025,Paul Skenes,Pittsburgh Pirates,ET-16,Inserts,Extraterrestrial Talent,,,,,,
24,iCloud Photos/IMG_4028.JPEG,iCloud Photos/IMG_4029.JPEG,Topps Cosmic 2025,,,25,base,,,,,,,
25,iCloud Photos/IMG_4030.JPEG,iCloud Photos/IMG_4031.JPEG,Topps Cosmic 2025,Grant McCray,San Francisco Giants,28,Base,Base,,,,,rookie,
26,iCloud Photos/IMG_4032.JPEG,iCloud Photos/IMG_4033.JPEG,Topps Cosmic 2025,,,134,base,,,,,,,
27,iCloud Photos/IMG_4034.JPEG,iCloud Photos/IMG_4035.JPEG,Topps Cosmic 2025,,,89,base,,,,,,,
28,iCloud Photos/IMG_4036.JPEG,iCloud Photos/IMG_4037.JPEG,Topps Cosmic 2025,,,5,base,,,,,,,
29,iCloud Photos/IMG_4038.JPEG,iCloud Photos/IMG_4039.JPEG,Topps Cosmic 2025,,,102,base,,,,,,,
30,iCloud Photos/IMG_4040.JPEG,iCloud Photos/IMG_4041.JPEG,Topps Cosmic 2025,,,107,base,,,,,,,
31,iCloud Photos/IMG_4042.JPEG,iCloud Photos/IMG_4043.JPEG,Topps Cosmic 2025,,,87,base,,,,,,,
32,iCloud Photos/IMG_4044.JPEG,iCloud Photos/IMG_4045.JPEG,Topps Cosmic 2025,,,23,base,,,,,,,
33,iCloud Photos/IMG_4046.JPEG,iCloud Photos/IMG_4047.JPEG,Topps Cosmic 2025,,,1,base,,,,,,,
34,iCloud Photos/IMG_4048.JPEG,iCloud Photos/IMG_4049.JPEG,Topps Cosmic 2025,,,59,base,,,,,,,
35,iCloud Photos/IMG_4050.JPEG,,Topps Cosmic 2025,,,130,base,,,,,,,
36,iCloud Photos/IMG_4051.JPEG,iCloud Photos/IMG_4052.JPEG,Topps Cosmic 2025,,,1,base,,,,,,,
37,iCloud Photos/IMG_4053.JPEG,iCloud Photos/IMG_4054.JPEG,Topps Cosmic 2025,,,10,base,,,,,,,
38,iCloud Photos/IMG_4055.JPEG,iCloud Photos/IMG_4056.JPEG,Topps Cosmic 2025,,,72,base,,,,,,,
39,iCloud Photos/IMG_4057.JPEG,iCloud Photos/IMG_4059.JPEG,Topps Cosmic 2025,,,198,base,,,,,,,
40,iCloud Photos/IMG_4060.JPEG,iCloud Photos/IMG_4061.JPEG,Topps Cosmic 2025,,,113,base,,,,,,,
41,iCloud Photos/IMG_4062.JPEG,iCloud Photos/IMG_4063.JPEG,Topps Cosmic 2025,,,155,base,,,,,,,
42,iCloud Photos/IMG_4064.JPEG,iCloud Photos/IMG_4065.JPEG,Topps Cosmic 2025,,,12,base,,,,,,,
43,iCloud Photos/IMG_4066.JPEG,iCloud Photos/IMG_4067.JPEG,Topps Cosmic 2025,,,61,base,,,,,,,
44,iCloud Photos/IMG_4068.JPEG,iCloud Photos/IMG_4069.JPEG,Topps Cosmic 2025,,,18,base,,,,,,,
45,iCloud Photos/IMG_4070.JPEG,iCloud Photos/IMG_4071.JPEG,Topps Cosmic 2025,,,158,base,,,,,,,
46,iCloud Photos/IMG_4072.JPEG,iCloud Photos/IMG_4073.JPEG,Topps Cosmic 2025,,,144,base,,,,,,,
47,iCloud Photos/IMG_4074.JPEG,iCloud Photos/IMG_4075.JPEG,Topps Cosmic 2025,,,109,base,,,,,,,
48,iCloud Photos/IMG_4076.JPEG,iCloud Photos/IMG_4077.JPEG,Topps Cosmic 2025,,,157,base,,,,,,,
