checklist_type,card_number,subset,player_name,team,rc_flag,key
Base,1,Base,James Wood,Washington Nationals,RC,Base|1
Base,1,Base,James Wood,Washington Nationals,,Base|1
Base,129,Base,Brooks Lee,Minnesota Twins,RC,Base|129
Base,129,Base,Brooks Lee,Minnesota Twins,,Base|129
Base,139,Base,Jacob Wilson,Athletics,RC,Base|139
Base,139,Base,Jacob Wilson,Athletics,,Base|139
Base,142,Base,Jackson Jobe,Detroit Tigers,RC,Base|142
Base,142,Base,Jackson Jobe,Detroit Tigers,,Base|142
Base,154,Base,Coby Mayo,Baltimore Orioles,RC,Base|154
Base,154,Base,Coby Mayo,Baltimore Orioles,,Base|154
Base,166,Base,Cam Smith,Houston Astros,RC,Base|166
Base,166,Base,Cam Smith,Houston Astros,,Base|166
Base,174,Base,Ben Rice,New York Yankees,RC,Base|174
Base,174,Base,Ben Rice,New York Yankees,,Base|174
Base,181,Base,Hyeseong Kim,Los Angeles Dodgers,RC,Base|181
Base,181,Base,Hyeseong Kim,Los Angeles Dodgers,,Base|181
Base,183,Base,Nick Kurtz,Athletics,RC,Base|183
Base,183,Base,Nick Kurtz,Athletics,,Base|183
Base,194,Base,Dylan Crews,Washington Nationals,RC,Base|194
Base,194,Base,Dylan Crews,Washington Nationals,,Base|194
Base,26,Base,Cade Horton,Chicago Cubs,RC,Base|26
Base,26,Base,Cade Horton,Chicago Cubs,,Base|26
Base,35,Base,Matt Shaw,Chicago Cubs,RC,Base|35
Base,35,Base,Matt Shaw,Chicago Cubs,,Base|35
Base,47,Base,Kristian Campbell,Boston Red Sox,RC,Base|47
Base,47,Base,Kristian Campbell,Boston Red Sox,,Base|47
Base,68,Base,Roki Sasaki,Los Angeles Dodgers,RC,Base|68
Base,68,Base,Roki Sasaki,Los Angeles Dodgers,,Base|68
Base,96,Base,Drake Baldwin,Atlanta Braves,RC,Base|96
Base,96,Base,Drake Baldwin,Atlanta Braves,,Base|96
