OldName,NewName,Side,Card,Player,Team,Set,Method
IMG_3628.JPEG,aidan-miller__philadelphia-phillies__bd-180__front.jpg,front,BD-180,Aidan Miller,Philadelphia Phillies,bowman-draft-2025,cardno
IMG_3629.JPEG,aidan-miller__philadelphia-phillies__bd-180__back.jpg,back,BD-180,Aidan Miller,Philadelphia Phillies,bowman-draft-2025,cardno
IMG_3630.JPEG,dakota-jordan__san-francisco-giants__bd-139__front.jpg,front,BD-139,Dakota Jordan,San Francisco Giants,bowman-draft-2025,front-ocr
IMG_3634.JPEG,alfredo-duno__cincinnati-reds__bd-133__front.jpg,front,BD-133,Alfredo Duno,Cincinnati Reds,bowman-draft-2025,player-partial
IMG_3635.JPEG,alfredo-duno__cincinnati-reds__bd-133__back.jpg,back,BD-133,Alfredo Duno,Cincinnati Reds,bowman-draft-2025,player-partial
IMG_3636.JPEG,shotaro-morii__athletics__bd-174__front.jpg,front,BD-174,Shotaro Morii,Athletics,bowman-draft-2025,cardno
IMG_3637.JPEG,shotaro-morii__athletics__bd-174__back.jpg,back,BD-174,Shotaro Morii,Athletics,bowman-draft-2025,cardno
IMG_3638.JPEG,sean-youngerman__philadelphia-phillies__bd-104__front.jpg,front,BD-104,Sean Youngerman,Philadelphia Phillies,bowman-draft-2025,player-partial
IMG_3639.JPEG,sean-youngerman__philadelphia-phillies__bd-104__back.jpg,back,BD-104,Sean Youngerman,Philadelphia Phillies,bowman-draft-2025,player-partial
IMG_3640.JPEG,thomas-white__miami-marlins__bd-26__front.jpg,front,BD-26,Thomas White,Miami Marlins,bowman-draft-2025,cardno
IMG_3641.JPEG,thomas-white__miami-marlins__bd-26__back.jpg,back,BD-26,Thomas White,Miami Marlins,bowman-draft-2025,cardno
IMG_3642.JPEG,kade-anderson__seattle-mariners__bd-3__front.jpg,front,BD-3,Kade Anderson,Seattle Mariners,bowman-draft-2025,player-partial
IMG_3643.JPEG,kade-anderson__seattle-mariners__bd-3__back.jpg,back,BD-3,Kade Anderson,Seattle Mariners,bowman-draft-2025,player-partial
IMG_3644.JPEG,cody-miller__atlanta-braves__bd-91__front.jpg,front,BD-91,Cody Miller,Atlanta Braves,bowman-draft-2025,player-partial
IMG_3645.JPEG,cody-miller__atlanta-braves__bd-91__back.jpg,back,BD-91,Cody Miller,Atlanta Braves,bowman-draft-2025,player-partial
IMG_3646.JPEG,cade-obermueller__philadelphia-phillies__bd-80__front.jpg,front,BD-80,Cade Obermueller,Philadelphia Phillies,bowman-draft-2025,player-partial
IMG_3647.JPEG,cade-obermueller__philadelphia-phillies__bd-80__back.jpg,back,BD-80,Cade Obermueller,Philadelphia Phillies,bowman-draft-2025,player-partial
IMG_3648.JPEG,mason-neville__cincinnati-reds__bd-109__front.jpg,front,BD-109,Mason Neville,Cincinnati Reds,bowman-draft-2025,cardno
IMG_3649.JPEG,mason-neville__cincinnati-reds__bd-109__back.jpg,back,BD-109,Mason Neville,Cincinnati Reds,bowman-draft-2025,cardno
IMG_3650.JPEG,landyn-vidourek__los-angeles-dodgers__bd-158__front.jpg,front,BD-158,Landyn Vidourek,Los Angeles Dodgers,bowman-draft-2025,player-partial
IMG_3651.JPEG,landyn-vidourek__los-angeles-dodgers__bd-158__back.jpg,back,BD-158,Landyn Vidourek,Los Angeles Dodgers,bowman-draft-2025,player-partial
IMG_3652.JPEG,j-d-thompson__milwaukee-brewers__bd-14__front.jpg,front,BD-14,J.D. Thompson,Milwaukee Brewers,bowman-draft-2025,cardno
IMG_3653.JPEG,j-d-thompson__milwaukee-brewers__bd-14__back.jpg,back,BD-14,J.D. Thompson,Milwaukee Brewers,bowman-draft-2025,cardno
IMG_3654.JPEG,ryan-wideman__san-diego-padres__bd-190__front.jpg,front,BD-190,Ryan Wideman,San Diego Padres,bowman-draft-2025,player-partial
IMG_3655.JPEG,ryan-wideman__san-diego-padres__bd-190__back.jpg,back,BD-190,Ryan Wideman,San Diego Padres,bowman-draft-2025,player-partial
IMG_3656.JPEG,jb-middleton__colorado-rockies__bd-78__front.jpg,front,BD-78,JB Middleton,Colorado Rockies,bowman-draft-2025,player-partial
IMG_3657.JPEG,jb-middleton__colorado-rockies__bd-78__back.jpg,back,BD-78,JB Middleton,Colorado Rockies,bowman-draft-2025,player-partial
IMG_3658.JPEG,riley-quick__minnesota-twins__bd-23__front.jpg,front,BD-23,Riley Quick,Minnesota Twins,bowman-draft-2025,player-partial
IMG_3659.JPEG,riley-quick__minnesota-twins__bd-23__back.jpg,back,BD-23,Riley Quick,Minnesota Twins,bowman-draft-2025,player-partial
IMG_3660.JPEG,unknown-player__front.jpg,front,,,,,unresolved
IMG_3661.JPEG,pico-kohn__new-york-yankees__bd-52__front.jpg,front,BD-52,Pico Kohn,New York Yankees,bowman-draft-2025,player-partial
IMG_3662.JPEG,pico-kohn__new-york-yankees__bd-52__back.jpg,back,BD-52,Pico Kohn,New York Yankees,bowman-draft-2025,player-partial
IMG_3663.JPEG,jordan-yost__detroit-tigers__bd-162__front.jpg,front,BD-162,Jordan Yost,Detroit Tigers,bowman-draft-2025,cardno
IMG_3664.JPEG,jordan-yost__detroit-tigers__bd-162__back.jpg,back,BD-162,Jordan Yost,Detroit Tigers,bowman-draft-2025,cardno
IMG_3665.JPEG,kaleb-wing__chicago-cubs__bd-131__front.jpg,front,BD-131,Kaleb Wing,Chicago Cubs,bowman-draft-2025,player-partial
IMG_3666.JPEG,kaleb-wing__chicago-cubs__bd-131__back.jpg,back,BD-131,Kaleb Wing,Chicago Cubs,bowman-draft-2025,player-partial
