"Base","Front","Thumb","Back","Action","Note"
"aaron-parker__dunedin-blue-jays__base__chrome-pro-debut","aaron-parker__dunedin-blue-jays__base__chrome-pro-debut__front.webp","aaron-parker__dunedin-blue-jays__base__chrome-pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"bryce-eldridge__richmond-exploding-whales__insert-ballpark-promos__exploding-whales-jersey-night__pro-debut","bryce-eldridge__richmond-exploding-whales__insert-ballpark-promos__exploding-whales-jersey-night__pro-debut__front.webp","bryce-eldridge__richmond-exploding-whales__insert-ballpark-promos__exploding-whales-jersey-night__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"caleb-bonemer__acl-white-sox__base__pro-debut","caleb-bonemer__acl-white-sox__base__pro-debut__front.webp","caleb-bonemer__acl-white-sox__base__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"caleb-durbin__nashville-sounds__auto__pro-debut","caleb-durbin__nashville-sounds__auto__pro-debut__front.webp","caleb-durbin__nashville-sounds__auto__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"cam-caminitti__augusta-greenjackets__base__pro-debut","cam-caminitti__augusta-greenjackets__base__pro-debut__front.webp","cam-caminitti__augusta-greenjackets__base__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"chase-burns__acl-reds__base__pro-debut","chase-burns__acl-reds__base__pro-debut__front.webp","chase-burns__acl-reds__base__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"chase-dollander__hartford-yard-goats__base__chrome-pro-debut","chase-dollander__hartford-yard-goats__base__chrome-pro-debut__front.webp","chase-dollander__hartford-yard-goats__base__chrome-pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"christian-moore__rocket-city-trash-pandas__base__pro-debut","christian-moore__rocket-city-trash-pandas__base__pro-debut__front.webp","christian-moore__rocket-city-trash-pandas__base__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"cobb-hightower__san-diego-padres__refractor__chrome-pro-debut","cobb-hightower__san-diego-padres__refractor__chrome-pro-debut__front.webp","cobb-hightower__san-diego-padres__refractor__chrome-pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"cole-messina__spokane-indians__base__chrome-pro-debut","cole-messina__spokane-indians__base__chrome-pro-debut__front.webp","cole-messina__spokane-indians__base__chrome-pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"echedry-vargas__beloit-sky-carp__base__pro-debut","echedry-vargas__beloit-sky-carp__base__pro-debut__front.webp","echedry-vargas__beloit-sky-carp__base__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"griff-o-ferrall__aberdeen-ironbirds__base__pro-debut","griff-o-ferrall__aberdeen-ironbirds__base__pro-debut__front.webp","griff-o-ferrall__aberdeen-ironbirds__base__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"hyungchan-um__beloit-sky-carp__base__pro-debut","hyungchan-um__beloit-sky-carp__base__pro-debut__front.webp","hyungchan-um__beloit-sky-carp__base__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"jose-fernandez__hillsboro-hops__base__chrome-pro-debut","jose-fernandez__hillsboro-hops__base__chrome-pro-debut__front.webp","jose-fernandez__hillsboro-hops__base__chrome-pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"kelvin-hidalgo__fresno-grizzlies__base__pro-debut","kelvin-hidalgo__fresno-grizzlies__base__pro-debut__front.webp","kelvin-hidalgo__fresno-grizzlies__base__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"kyle-teel__charlotte-knights__base__pro-debut","kyle-teel__charlotte-knights__base__pro-debut__front.webp","kyle-teel__charlotte-knights__base__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"robert-calaz__fresno-grizzlies__base__pro-debut","robert-calaz__fresno-grizzlies__base__pro-debut__front.webp","robert-calaz__fresno-grizzlies__base__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"sebastian-walcott__frisco-roughriders__insert-rookie-highlights__chrome-pro-debut","sebastian-walcott__frisco-roughriders__insert-rookie-highlights__chrome-pro-debut__front.webp","sebastian-walcott__frisco-roughriders__insert-rookie-highlights__chrome-pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"travis-sikora__fredericksburg-nationals__numbered-03of99__parallel-green","travis-sikora__fredericksburg-nationals__numbered-03of99__parallel-green__front.webp","travis-sikora__fredericksburg-nationals__numbered-03of99__parallel-green__front.webp","","MISSING_BACK","No back found for this front"
"yeremi-cabrera__hub-city-spartanburgers__base__pro-debut","yeremi-cabrera__hub-city-spartanburgers__base__pro-debut__front.webp","yeremi-cabrera__hub-city-spartanburgers__base__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"yoffry-solano__fcl-marlins__base__pro-debut","yoffry-solano__fcl-marlins__base__pro-debut__front.webp","yoffry-solano__fcl-marlins__base__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"yohandy-morales__harrisburg-senators__base__pro-debut","yohandy-morales__harrisburg-senators__base__pro-debut__front.webp","yohandy-morales__harrisburg-senators__base__pro-debut__front.webp","","MISSING_BACK","No back found for this front"
"echedry-vargas__beloit-sky-carp__base__pro-debut","echedry-vargas__beloit-sky-carp__base__pro-debut__front.webp","","","MISSING_THUMB","No thumb found for this front"
