OriginalFile,NewFile,Player,Set,CardNumber,Side
IMG_3926.JPEG,2025_ToppsChromeProDebut_Eduardo-Tait_PD-173_front.JPEG,Eduardo Tait,2025 Topps Chrome Pro Debut,PD-173,front
IMG_3927.JPEG,2025_ToppsChromeProDebut_Eduardo-Tait_PD-173_back.JPEG,Eduardo Tait,2025 Topps Chrome Pro Debut,PD-173,back

IMG_3953.JPEG,2025_ToppsChromeProDebut_Asbel-Gonzalez_PDC-133_front.JPEG,Asbel Gonzalez,2025 Topps Chrome Pro Debut,PDC-133,front
IMG_3954.JPEG,2025_ToppsChromeProDebut_Asbel-Gonzalez_PDC-133_back.JPEG,Asbel Gonzalez,2025 Topps Chrome Pro Debut,PDC-133,back

IMG_3955.JPEG,2025_ToppsChromeProDebut_Sheng-En-Lin_PDC-70_front.JPEG,Sheng-En Lin,2025 Topps Chrome Pro Debut,PDC-70,front
IMG_3956.JPEG,2025_ToppsChromeProDebut_Sheng-En-Lin_PDC-70_back.JPEG,Sheng-En Lin,2025 Topps Chrome Pro Debut,PDC-70,back

IMG_3957.JPEG,2025_ToppsChromeProDebut_Konnor-Griffin_PDC-32_front.JPEG,Konnor Griffin,2025 Topps Chrome Pro Debut,PDC-32,front
IMG_3958.JPEG,2025_ToppsChromeProDebut_Konnor-Griffin_PDC-32_back.JPEG,Konnor Griffin,2025 Topps Chrome Pro Debut,PDC-32,back

IMG_3943.JPEG,2025_ToppsProDebut_Colson-Montgomery_STAR-18_back.JPEG,Colson Montgomery,2025 Topps Pro Debut (Stars),STAR-18,back
