checklist_type,card_number,subset,player_name,team,rc_flag
Base,1,Base,James Wood,Washington Nationals,RC
Base,2,Base,Yu Darvish,San Diego Padres,
Base,3,Base,Colton Cowser,Baltimore Orioles,
Base,4,Base,Ryan Bliss,Seattle Mariners,RC
Base,5,Base,Will Wagner,San Diego Padres,RC
Base,6,Base,Cal Raleigh,Seattle Mariners,
Base,7,Base,Victor Mesa Jr.,Miami Marlins,RC
Base,8,Base,Chris Sale,Atlanta Braves,
Base,9,Base,Jace Jung,Detroit Tigers,RC
Base,10,Base,Bryan Reynolds,Pittsburgh Pirates,
Base,11,Base,Corey Seager,Texas Rangers,
Base,12,Base,Chase Meidroth,Chicago White Sox,RC
Base,13,Base,Kyle Schwarber,Philadelphia Phillies,
Base,14,Base,Austin Wells,New York Yankees,
Base,15,Base,Jhonkensy Noel,Cleveland Guardians,RC
Base,16,Base,Bo Bichette,Toronto Blue Jays,
Base,17,Base,Drew Romo,Colorado Rockies,RC
Base,18,Base,Chase Dollander,Colorado Rockies,RC
Base,19,Base,Royce Lewis,Minnesota Twins,
Base,20,Base,Ezequiel Tovar,Colorado Rockies,
Base,21,Base,Fernando Tatis Jr.,San Diego Padres,
Base,22,Base,Jose Altuve,Houston Astros,
Base,23,Base,Will Warren,New York Yankees,RC
Base,24,Base,Luisangel Acuña,New York Mets,RC
Base,25,Base,Bobby Witt Jr.,Kansas City Royals,
Base,26,Base,Cade Horton,Chicago Cubs,RC
Base,27,Base,Giancarlo Stanton,New York Yankees,
Base,28,Base,Grant McCray,San Francisco Giants,RC
Base,29,Base,Adolis García,Texas Rangers,
Base,30,Base,Vladimir Guerrero Jr.,Toronto Blue Jays,
Base,31,Base,Chase Petty,Cincinnati Reds,RC
Base,32,Base,Nick Yorke,Pittsburgh Pirates,RC
Base,33,Base,Christian Walker,Houston Astros,
Base,34,Base,Logan Gilbert,Seattle Mariners,
Base,35,Base,Matt Shaw,Chicago Cubs,RC
Base,36,Base,Mark Vientos,New York Mets,
Base,37,Base,Francisco Alvarez,New York Mets,
Base,38,Base,Cody Bellinger,New York Yankees,
Base,39,Base,Garrett Crochet,Boston Red Sox,
Base,40,Base,Max Muncy,Athletics,RC
Base,41,Base,Heliot Ramos,San Francisco Giants,
Base,42,Base,Max Fried,New York Yankees,
Base,43,Base,Nacho Alvarez Jr.,Atlanta Braves,RC
Base,44,Base,Thomas Saggese,St. Louis Cardinals,RC
Base,45,Base,Brooks Baldwin,Chicago White Sox,RC
Base,46,Base,Alex Bregman,Boston Red Sox,
Base,47,Base,Kristian Campbell,Boston Red Sox,RC
Base,48,Base,Yoshinobu Yamamoto,Los Angeles Dodgers,
Base,49,Base,Oneil Cruz,Pittsburgh Pirates,
Base,50,Base,Rhett Lowder,Cincinnati Reds,RC
Base,51,Base,Isaac Collins,Milwaukee Brewers,RC
Base,52,Base,Vinnie Pasquantino,Kansas City Royals,
Base,53,Base,Dalton Rushing,Los Angeles Dodgers,RC
Base,54,Base,Luis Arraez,San Diego Padres,
Base,55,Base,Agustín Ramírez,Miami Marlins,RC
Base,56,Base,Shohei Ohtani,Los Angeles Dodgers,
Base,57,Base,Nico Hoerner,Chicago Cubs,
Base,58,Base,Moisés Ballesteros,Chicago Cubs,RC
Base,59,Base,Kevin Alcántara,Chicago Cubs,RC
Base,60,Base,Steven Kwan,Cleveland Guardians,
Base,61,Base,Kris Bryant,Colorado Rockies,
Base,62,Base,Braxton Ashcraft,Pittsburgh Pirates,RC
Base,63,Base,Salvador Perez,Kansas City Royals,
Base,64,Base,Jung Hoo Lee,San Francisco Giants,
Base,65,Base,Orelvis Martinez,Toronto Blue Jays,RC
Base,66,Base,Justin Verlander,San Francisco Giants,
Base,67,Base,Nic Enright,Cleveland Guardians,RC
Base,68,Base,Roki Sasaki,Los Angeles Dodgers,RC
Base,69,Base,Christian Yelich,Milwaukee Brewers,
Base,70,Base,Marcus Semien,Texas Rangers,
Base,71,Base,Wilyer Abreu,Boston Red Sox,
Base,72,Base,Matt Chapman,San Francisco Giants,
Base,73,Base,Riley Greene,Detroit Tigers,
Base,74,Base,Gleyber Torres,Detroit Tigers,
Base,75,Base,Justyn-Henry Malloy,Detroit Tigers,RC
Base,76,Base,Byron Buxton,Minnesota Twins,
Base,77,Base,Teoscar Hernández,Los Angeles Dodgers,
Base,78,Base,Dillon Dingler,Detroit Tigers,RC
Base,79,Base,Thomas Harrington,Pittsburgh Pirates,RC
Base,80,Base,Lawrence Butler,Athletics,
Base,81,Base,Hunter Greene,Cincinnati Reds,
Base,82,Base,Gerrit Cole,New York Yankees,
Base,83,Base,Daylen Lile,Washington Nationals,RC
Base,84,Base,Leo Jiménez,Toronto Blue Jays,RC
Base,85,Base,George Springer,Toronto Blue Jays,
Base,86,Base,Manny Machado,San Diego Padres,
Base,87,Base,Austin Riley,Atlanta Braves,
Base,88,Base,Logan Webb,San Francisco Giants,
Base,89,Base,Jeremy Peña,Houston Astros,
Base,90,Base,Isaac Paredes,Houston Astros,
Base,91,Base,Marcelo Mayer,Boston Red Sox,RC
Base,92,Base,Jorbit Vivas,New York Yankees,RC
Base,93,Base,Zac Veen,Colorado Rockies,RC
