Base Set,,,
,,,
200 cards,,,
Parallels,,,
,,,
Purple Foil /299,,,
Fuchsia Foil /199,,,
Sparkle Foil /175,,,
Blue Foil /150,,,
Green Foil /99,,,
Aqua Foil /75,,,
Gold Foil /50,,,
Orange Foil /25,,,
Red Foil /10,,,
FoilFractor /1,,,
,,,
PD-1,Nick Kurtz,Midland Rockhounds,
PD-2,Tai Peete,Modesto Nuts,
PD-3,Jacob Cozart,Lake County Captains,
PD-4,Romeo Sanabria,San Antonio Missions,
PD-5,Cooper Pratt,Biloxi Shuckers,
PD-6,JD Dix,ACL Diamondbacks,
PD-7,Kyle DeBarge,Fort Myers Mighty Mussels,
PD-8,Travis Sykora,Fredericksburg Nationals,
PD-9,Chris Cortez,ACL Angels,
PD-10,Sean Keys,Dunedin Blue Jays,
PD-11,Thomas White,Beloit Sky Carp,
PD-12,Roman Anthony,Worcester Red Sox,
PD-13,Sebastian Walcott,Frisco RoughRiders,
PD-14,Alex Clemmey,Fredericksburg Nationals,
PD-15,Caleb Bonemer,ACL White Sox,
PD-16,Cam Caminiti,Augusta GreenJackets,
PD-17,Leo De Vries,Lake Elsinore Storm,
PD-18,Travis Honeyman,Palm Beach Cardinals,
PD-19,Walker Janek,Asheville Tourists,
PD-20,Engelth Urena,FCL Yankees,
PD-21,Aaron Parker,Dunedin Blue Jays,
PD-22,Braylon Doughty,ACL Guardians,
PD-23,Marvin Alcantara,Salem Red Sox,
PD-24,Jeral Perez,Kannapolis Cannon Ballers,
PD-25,Braylon Payne,Carolina Mudcats,
PD-26,Yoffry Solano,FCL Marlins,
PD-27,Jared Thomas,Fresno Grizzlies,
PD-28,Yoeilin Cespedes,Salem Red Sox,
PD-29,Fenwick Trimble,Jupiter Hammerheads,
PD-30,Arjun Nimmala,Dunedin Blue Jays,
PD-31,Caden Kendle,Fort Myers Mighty Mussels,
PD-32,Konnor Griffin,FCL Pirates,
PD-33,Colt Emerson,Everett AquaSox,
PD-34,Levi Sterling,FCL Pirates,
PD-35,Joshua Kuroda-Grauer,Las Vegas Aviators,
PD-36,Alexander Albertus,Kannapolis Cannon Ballers,
PD-37,Bladimir Restituyo,Nashville Sounds,
PD-38,Bryce Meccage,ACL Brewers,
PD-39,Jesus Made,Carolina Mudcats,
PD-40,Griffin Burkholder,Clearwater Threshers,
PD-41,George Lombard Jr.,Hudson Valley Renegades,
PD-42,Boston Bateman,ACL Padres,
PD-43,Cole Mathis,ACL Cubs,
PD-44,Agustin Ramirez,Jacksonville Jumbo Shrimp,
PD-45,Trey Yesavage,FCL Blue Jays,
PD-46,Kelvin Hidalgo,Fresno Grizzlies,
PD-47,Joendry Vargas,ACL Dodgers,
PD-48,Ryan Sloan,ACL Mariners,
PD-49,Luis Almeyda,FCL Orioles,
PD-50,Chase Dollander,Hartford Yard Goats,
PD-51,Yolfran Castillo,ACL Rangers,
PD-52,Brody Hopkins,Bowling Green Hot Rods,
PD-53,Khadim Diaw,Fort Myers Mighty Mussels,
PD-54,Walker Jenkins,Wichita Wind Surge,
PD-55,Carson Benge,St. Lucie Mets,
PD-56,Kristian Campbell,Worcester Red Sox,
PD-57,Colin Houck,St. Lucie Mets,
PD-58,Juan Flores,Tri-City Dust Devils,
PD-59,Dante Nori,Clearwater Threshers,
PD-60,Ivan Luciano,ACL Diamondbacks,
PD-61,Jose Fernandez,Hillsboro Hops,
PD-62,Lazaro Montes,Everett AquaSox,
PD-63,Joe Vetrano,Rancho Cucamonga Quakes,
PD-64,Charlie Condon,Spokane Indians,
PD-65,Jackson Ferris,Tulsa Drillers,
PD-66,Victor Rodrigues,Rancho Cucamonga Quakes,
PD-67,Brice Matthews,Sugar Land Space Cowboys,
PD-68,Ethan Anderson,Aberdeen IronBirds,
PD-69,Luke Adams,Wisconsin Timber Rattlers,
PD-70,Sheng-En Lin,ACL Reds,
PD-71,John Spikerman,Clearwater Threshers,
PD-72,Spencer Nivens,Quad Cities River Bandits,
PD-73,Ramon Ramirez,ACL Royals,
PD-74,Hagen Smith,Winston-Salem Dash,
PD-75,Cobb Hightower,ACL Padres,
PD-76,Luis Morales,Lansing Lugnuts,
PD-77,Robert Calaz,Fresno Grizzlies,
PD-78,Michael Arroyo,Everett AquaSox,
PD-79,Kaelen Culpepper,Cedar Rapids Kernals,
PD-80,Theo Gillen,Charleston Riverdogs,
PD-81,Griff O'Ferrall,Aberdeen IronBirds,
PD-82,Herick Hernandez,FCL Braves,
PD-83,Billy Amick,Fort Myers Mighty Mussels,
PD-84,Braden Montgomery,Kannapolis Cannon Ballers,
PD-85,Jeremy Rodriguez,FCL Mets,
PD-86,Rikuu Nishida,Birmingham Barons,
PD-87,Tre' Morgan,Montgomery Biscuits,
PD-88,Carter Mathison,Clearwater Threshers,
PD-89,Jac Caglianone,Quad Cities River Bandits,
PD-90,Blake Mitchell,Quad Cities River Bandits,
PD-91,Juan Baez,Carolina Mudcats,
PD-92,Christian Moore,Rocket City Trash Pandas,
