OldName,NewName,Side,CardNumber,SetToken,Player,Team,PlayerScore,TeamScore,Rotation,Note,Error
IMG_3628.JPEG,,front,,topps-pro-debut-2025,Chase Utley,ACL Angels,0.476,0.444,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='Ce wt et P'; ocr_team='- ae - s',
IMG_3629.JPEG,,front,,topps-pro-debut-2025,,Iowa Cubs,0.0,0.462,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='on S',
IMG_3630.JPEG,,front,,topps-pro-debut-2025,,Spokane Indians,0.0,0.421,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='PO a',
IMG_3634.JPEG,,front,,topps-pro-debut-2025,,,0.0,0.0,0,low-confidence (blank NewName); dbg=; ocr_player=''; ocr_team='',
IMG_3635.JPEG,,front,,topps-pro-debut-2025,Victor Rodrigues,Round Rock Express,0.375,0.375,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='Filo ig z uy J q'; ocr_team='i rPr-o S s ah',
IMG_3636.JPEG,,front,,topps-pro-debut-2025,Bernard Moon,Syracuse Mets,0.438,0.343,0,low-confidence (blank NewName); dbg=invert=True; ocr_player='a - Beyornomons ie S'; ocr_team='cuFAs a a J Ne a e - P',
IMG_3637.JPEG,,front,,topps-pro-debut-2025,,Tennessee Smokies,0.0,0.364,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='Tse m- we f ow -',
IMG_3638.JPEG,,front,,topps-pro-debut-2025,,Eugene Emeralds,0.0,0.389,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='Ree fom bof ne - ee v',
IMG_3639.JPEG,,front,,topps-pro-debut-2025,,ACL Angels,0.0,0.471,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='aqme ae',
IMG_3640.JPEG,,front,,topps-pro-debut-2025,,,0.0,0.0,0,low-confidence (blank NewName); dbg=; ocr_player=''; ocr_team='',
IMG_3641.JPEG,,front,,topps-pro-debut-2025,,Lakeland Flying Tigers,0.0,0.421,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='aadCSSOE fy oe Y',
IMG_3642.JPEG,,front,,topps-pro-debut-2025,Malcolm Moore,,0.522,0.0,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='Com oe - C'; ocr_team='',
IMG_3643.JPEG,,front,,topps-pro-debut-2025,,,0.0,0.0,0,low-confidence (blank NewName); dbg=; ocr_player=''; ocr_team='',
IMG_3644.JPEG,,front,,topps-pro-debut-2025,,Somerset Patriots,0.0,0.383,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='Ts e -- - se es naeet nae t Co',
IMG_3645.JPEG,,front,,topps-pro-debut-2025,Franklin Arias,,0.37,0.0,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='q fZ aa ue sf'; ocr_team='',
IMG_3646.JPEG,,front,,topps-pro-debut-2025,,FCL Yankees,0.0,0.37,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='- ir oy ne oF ee',
IMG_3647.JPEG,,front,,topps-pro-debut-2025,,Portland Sea Dogs,0.0,0.421,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='o ase ed s pind z o w',
IMG_3648.JPEG,,front,,topps-pro-debut-2025,,Iowa Cubs,0.0,0.625,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='ow bZas',
IMG_3649.JPEG,,front,,bowman-draft-2025,Liam Doyle,New York Yankees,0.476,0.4,0,low-confidence (blank NewName); dbg=invert=True; ocr_player='i Li of Ife'; ocr_team='w r mveoy i Pee i I',
IMG_3650.JPEG,,front,,topps-pro-debut-2025,Chase Harlan,FCL Blue Jays,0.545,0.375,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='ae a ren f'; ocr_team='Fue',
IMG_3651.JPEG,,front,,bowman-draft-2025,Ike Irish,,0.533,0.0,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='i he i'; ocr_team='',
IMG_3652.JPEG,,front,,topps-pro-debut-2025,,,0.0,0.0,0,low-confidence (blank NewName); dbg=; ocr_player=''; ocr_team='',
IMG_3653.JPEG,,front,,topps-pro-debut-2025,Nick Mitchell,,0.5,0.0,0,low-confidence (blank NewName); dbg=invert=True; ocr_player='ic i ie'; ocr_team='',
IMG_3654.JPEG,,front,,topps-pro-debut-2025,,Corpus Christi Hooks,0.0,0.421,0,low-confidence (blank NewName); dbg=invert=False; ocr_player=''; ocr_team='sFEhrriCOCSY oo Li',
IMG_3655.JPEG,,front,,topps-pro-debut-2025,Josue De Paula,Rochester Red Wings,0.5,0.353,0,low-confidence (blank NewName); dbg=invert=False; ocr_player='te a pal f'; ocr_team='Oo ww ed ww bam',
IMG_3656.JPEG,,front,,bowman-draft-2025,Nate Snead,Arkansas,0.471,0.4,0,low-confidence (blank NewName); dbg=invert=True; ocr_player='eeeaToD'; ocr_team='a men a',
IMG_3657.JPEG,,front,,topps-pro-debut-2025,,Somerset Patriots,0.0,0.348,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='ee I Z',
IMG_3658.JPEG,,front,,topps-pro-debut-2025,,Aberdeen IronBirds,0.0,0.348,0,low-confidence (blank NewName); dbg=invert=True; ocr_player=''; ocr_team='eee ae ---- on fo B - - ad s',
IMG_3659.JPEG,,front,,topps-pro-debut-2025,,,0.0,0.0,0,low-confidence (blank NewName); dbg=; ocr_player=''; ocr_team='',
