OldName,NewName,CardCode,Player,MinorTeam,Status,Note
IMG_3881.JPEG,,,,,NO_CODE,"feqsseg anbee7 soup JdO1 FH) SZOZ O 2 @ u} JO yea aweb-67 p oid siy 003s O}UI 5, yIMUa4 REST"
IMG_3883.JPEG,palm-beach-cardinals__palm-beach-cardinals__pdc-141__pro-debut__front.jpg,PDC-141,Palm Beach Cardinals,Palm Beach Cardinals,OK,
IMG_3885.JPEG,luis-almeyda__luis-almeyda__pdc-49__pro-debut__front.jpg,PDC-49,Luis Almeyda,Luis Almeyda,OK,
IMG_3887.JPEG,fredericksburg-nationals__fredericksburg-nationals__pdc-123__pro-debut__front.jpg,PDC-123,Fredericksburg Nationals,Fredericksburg Nationals,OK,
IMG_3889.JPEG,,,,,NO_CODE,"reqaseg anbea] JoujW ddOl 3HL SZ0e © 2 @ m} pabbo; WD ‘S@ALIP 010 9} Ul siy juads b} Pepne}y STVLOL STN ~-SONTIS $2"""
IMG_3891.JPEG,,,,,NO_CODE,aap = Y is ; . Ni EX | TROD if XY BS | ikea ‘ NY RO SNR -
IMG_3893.JPEG,,,,,NO_CODE,we SPeWSpE [[eqoseg dOL JHL S202 © 8 ® } JO aly} [ye yauab paer ee SOL TH ~~ SIVLOL STN STUANOSMOWT 2 | ~WIOOVSNAd ve ASTIVA NOSGNH |
IMG_3895.JPEG,,,,,NO_CODE,WE SHIPWIPEH |jegeseg ddOl JHL S202 @ 3 @ 9S ISAI SIY MY Sayids JV “yNgsp tz ysnbny jue YOU STWLOLSTIW |
IMG_3897.JPEG,dunedin-blue-jays__dunedin-blue-jays__pd-30__pro-debut__front.jpg,PD-30,Dunedin Blue Jays,Dunedin Blue Jays,OK,
IMG_3899.JPEG,kannapolis-cannon-ballers__kannapolis-cannon-ballers__pd-109__pro-debut__front.jpg,PD-109,Kannapolis Cannon Ballers,Kannapolis Cannon Ballers,OK,
IMG_3901.JPEG,,,,,NO_CODE,PRO DEBUT X & @tToprs 1 238 | 0 264 | 5 259 1.260 ppearing
