OldName,NewName,CardCode,Player,MinorTeam,Status,Note
IMG_3880.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=11: OIM DT RBI ADEMARKSOFTHETOPPSCOMPANYINC -COLP0MLB IDESCMP103166"
IMG_3882.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=invbin165,cfg=11: KI -I S26 DEMARKSOFTHETOPPSCOMPANYINC OOLPMLB IDEFCMP103160"
IMG_3884.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=invbin165,cfg=11: L 09POSSESIN STTONOO4 QMTDAA 0934 SNILIVS IN3V1 YONIA C SE 4 LGAF SR"
IMG_3886.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=invbin165,cfg=6: -424 WF 010--11O -MARKSOFTHETOPPSCOMPANYINC OLPMLB ESCMP103166"
IMG_3888.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=11: 40 ES CI 2024R 2L H DEMARKSOFTHETOPPSCOMPANYINC DESCMP103166 COLPMLB"
IMG_3890.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=11: 4Z SS PS 2 G - J S 4 1 2 W 8 7 1 4 E9 6S S F A T 4 1 I 4 7 4 -- -"
IMG_3892.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=11: 483832 283 444 785 253 390 732 266 100 317 100 SO 444 792 268 0S HETOPPSCOMPANYINCMIL ILPMLBPI -MP103146"
IMG_3894.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=invbin165,cfg=6: RBIS-A 22G S0-I -JOPPSCOMPANYINCML LPMLBPIN 1P103146"
IMG_3896.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=11: - NIGANNGP2 SAVE3N18TO42 J PS GNTIDYA J94YINILLVG3NSVI1YONIW WE AAGE KK V13"
IMG_3898.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=invbin165,cfg=6: -MLB 2I23 1 12 TOPPSCOMPANYINCML PMLBPI 103146"
IMG_3900.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=invbin165,cfg=6: -STWLOLSTIH SMOWNNYHZ 7 YONOWVONDOHONVYP VONOAVONMOOHONYH2 S3901OVZ FATAL 334ONILIVEINSVI1YONIW OG PF -"
IMG_3902.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=invbin165,cfg=6: 434B13D H-A E 21155 -TOPPSCOMPANYINGM L LPMLBPI 1P103146"
IMG_3907.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=11: J ABGBSFBG 4 546985327 546 385 - B I 101LP HETOPPSCOMPANYINCMIL LPMLBPI GMP103146"
IMG_3909.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=11: 12 400 SS SS O11 295 N E20- K 11IA THETOPPSCOMPANYINCMIL CMP103146 LPMLBPI"
IMG_3911.JPEG,,PD-2,,,NO_MATCH,OK rot=0 mode=gray: -AS ADES ASD S 2S 1 SA23 T- O MO Z52B APD 2 F AZ OO SO 5OR EO 3C
IMG_3913.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=6: J-I S- ASI 1WS HETOPPSCOMPANYINCM L ILPMLBPI C-MP103146"
IMG_3915.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=11: BDS G ETOPPSCOMPANYINCML MP103 LPMLBPI"
IMG_3917.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=6: H 2333429478 C ALCA HETOPPSCOMPANYINCMIL LPMLBPI CMP103146"
IMG_3919.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=11: SETS C MAH -AFMO SSS 4ETOPPSCOMPANYINCML LPMLBPI- MP1"
IMG_3921.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=11: SS R 13RBII WTOPPS-COMCODESCMP103146 1ETOPPSCOMPANYINCML"
IMG_3923.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=6: S-25 2 -UA H -THETOPPSCOMPANYINCMIL LPMLBPI EACMP103146"
IMG_3925.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=11: 422 19A80 T 0IOS V D 4ETOPPSCOMPANYINCML CPMLBPI MP103146"
IMG_3927.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=11: I I I - 1ETOPPSCOMPANYINCMIL MP103146 LPMLBPI"
IMG_3929.JPEG,,,,,NO_CODE,"rot=90,roi=rightbar,v=inv,cfg=11: ZP S RBI -TOPPSCOMPANYINCML LPMLBPI 1P103146"
